id;Date;HStart;HEnd;Summary;TD;Location;Description
871;2023-10-03:;11:30:00;13:30:00;Syst1;TDC;C5;::1ATDC:JACQUETFREDERIQUE::(Updated:25/09/202313:44)
872;2024-01-16:;09:00:00;11:00:00;SAE15;TDB;B8;::1ATDB:HABACHIOUSSAMA::(Updated:18/12/202310:38)
873;2024-01-12:;09:00:00;11:00:00;Prog1;TP3;B3;::1ATP3:ZAYENEMARIEM::(Updated:27/11/202316:17)
874;2023-10-23:;13:30:00;15:30:00;Syst1;TP5;C5;::1ATP5:JACQUETFREDERIQUE::(Updated:10/10/202318:40)
875;2023-12-08:;12:30:00;15:30:00;Archi-Rés1;TP5;C1bis;::1ATP5:FREITASANTONIO::(Updated:24/11/202311:29)
876;2023-10-17:;13:30:00;15:30:00;Anglais1;TDB;LabomultimédiaA105;::1ATDB:BEIGNONDAGOSTINOLAURE::(Updated:10/10/202312:53)
877;2023-12-01:;09:00:00;11:00:00;SAE12;TDA-PT;B3,C1bis;::1ATDA::(Updated:27/11/202310:58)
878;2023-11-06:;09:00:00;11:00:00;Math-Signal1;TDB;A5bis;::1ATDB:COURSIMAULTDAVID::(Updated:13/10/202311:17)
879;2023-12-20:;12:00:00;15:00:00;SAE13;TP1;C1;::1ATP1:CAPALLERAFLORENCE::(Updated:20/11/202310:36)
880;2023-12-18:;12:30:00;14:30:00;SAE15;TDB;B6;::1ATDB:HABACHIOUSSAMA::(Updated:09/11/202317:12)
881;2023-10-26:;06:00:00;08:00:00;Syst1;TP3;C5;::1ATP3:JACQUETFREDERIQUE::(Updated:10/10/202318:34)
882;2023-10-05:;06:00:00;08:00:00;Syst1;TP4;B3;::1ATP4:WEZLMICHAEL::(Updated:29/09/202318:17)
883;2023-09-27:;11:30:00;13:30:00;Prog1;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:26/09/202312:48)
884;2023-11-28:;08:00:00;09:00:00;RLAN1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:15/11/202315:53)
885;2024-01-09:;12:00:00;15:00:00;RLAN1;TP3;B8;::1ATP3:HERNANDEZSEBASTIEN::(Updated:27/11/202314:57)
886;2024-01-10:;08:00:00;11:00:00;SAE13;TP3;C1;::1ATP3:CAPALLERAFLORENCE::(Updated:27/11/202315:48)
887;2023-12-12:;09:00:00;10:00:00;RLAN1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:09/11/202312:52)
888;2024-01-22:;12:00:00;15:00:00;SAE13;TP2;C1;::1ATP2:CAPALLERAFLORENCE::(Updated:27/11/202315:49)
889;2024-01-08:;12:00:00;15:00:00;Archi-Rés1;TP2;B8;::1ATP2:HERNANDEZSEBASTIEN::(Updated:27/11/202314:52)
890;2024-01-12:;08:00:00;11:00:00;Archi-Rés1;TP5;B8;::1ATP5:FREITASANTONIO::(Updated:27/11/202314:53)
891;2023-10-19:;08:00:00;10:00:00;SAE13;TDC-PT;A6,B1bis;::1ATDC::(Updated:19/10/202311:08)
892;2023-12-12:;12:30:00;14:30:00;RLAN1;TDB;C1bis;::1ATDB:FREITASANTONIO::(Updated:09/11/202316:18)
893;2023-09-22:;06:00:00;08:00:00;Math-Signal1;TDA;A5bis;::1ATDA:MATARHOUSSEIN::(Updated:25/09/202311:14)
894;2023-09-21:;11:30:00;13:30:00;Anglais1;TDB;LabomultimédiaA109;::1ATDB:BEIGNONDAGOSTINOLAURE::(Updated:17/07/202317:40)
895;2023-12-22:;08:00:00;11:00:00;Archi-Sys1;TP5;C5;::1ATP5:PERRIOTROMAIN::(Updated:27/11/202315:23)
896;2023-10-25:;11:30:00;13:30:00;SAE12;TDA-PT;C5,B6;::1ATDA::(Updated:10/10/202318:45)
897;2024-02-02:;09:00:00;10:00:00;Admin_Sys2;Cours;A5-A5bis;::1A:HERNANDEZSEBASTIEN::(Updated:08/01/202418:12)
