id;Date;HStart;HEnd;Summary;TD;Location;Description
719;2024-01-15:;12:30:00;14:30:00;SAE15;TP4;B3;::1ATP4:PERRIOTROMAIN::(Updated:09/01/202416:00)
720;2024-01-16:;15:00:00;18:00:00;Archi-Rés1;TP4;B8;::1ATP4:FREITASANTONIO::(Updated:27/11/202314:54)
721;2023-11-06:;07:00:00;09:00:00;Prog1;TP5;C5;::1ATP5:SIGURETARNAUD::(Updated:29/10/202318:08)
722;2023-10-09:;11:30:00;13:30:00;Archi-Sys1;TDC;A5;::1ATDC:JACQUETJEAN-PAUL::(Updated:25/09/202317:11)
723;2023-10-17:;06:00:00;08:00:00;Com1;TDB;B7;::1ATDB:GIRAUDNADINE::(Updated:28/09/202311:11)
724;2023-12-14:;09:00:00;11:00:00;Math-Trans1;TDC;A8;::1ATDC:MATARHOUSSEIN::(Updated:13/11/202317:20)
725;2024-01-15:;09:00:00;11:00:00;Math-Trans1;TDB;B3;::1ATDB:BENGANAFAYCAL::(Updated:19/12/202312:34)
726;2023-12-15:;09:00:00;11:00:00;PPP1;TDB;B7;::1ATDB:GIRAUDNADINE::(Updated:20/11/202310:18)
727;2023-11-21:;09:00:00;11:00:00;Archi-Rés1;TDA;C5;::1ATDA:HERNANDEZSEBASTIEN::(Updated:17/11/202309:49)
728;2024-01-19:;09:00:00;11:00:00;SAE14;TP1;B7;::1ATP1:GIRAUDNADINE::(Updated:18/12/202310:41)
729;2023-11-22:;15:30:00;18:30:00;Init-Rés1;TP1;C7;::1ATP1:BROSLAURENT::(Updated:19/10/202316:50)
730;2023-10-26:;11:30:00;12:30:00;SAE11;TP2;B8;::1ATP2:JACQUETFREDERIQUE::(Updated:10/10/202318:29)
731;2023-11-23:;09:00:00;11:00:00;SAE15;TDC;C5;::1ATDC:JACQUETFREDERIQUE::(Updated:14/11/202314:29)
732;2023-10-27:;07:00:00;08:00:00;SAE11;TP5;B8;::1ATP5:JACQUETFREDERIQUE::(Updated:10/10/202313:16)
733;2023-12-08:;08:00:00;11:00:00;Telecom1;TP2;C1;::1ATP2:CAPALLERAFLORENCE::(Updated:09/11/202312:48)
734;2023-09-12:;09:00:00;10:00:00;Init-Rés1;Cours;A5-A5bis;::1A:FREITASANTONIO::(Updated:07/07/202311:27)
735;2023-10-09:;06:00:00;07:00:00;Math-Signal1;Cours;A5-A5bis;::1A:COURSIMAULTDAVID::(Updated:25/09/202316:25)
736;2023-11-24:;12:30:00;14:30:00;Math-Trans1;TDA;A8;::1ATDA:COURSIMAULTDAVID::(Updated:31/10/202318:49)
737;2023-12-21:;08:00:00;11:00:00;Archi-Sys1;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:09/11/202317:18)
738;2023-09-25:;13:30:00;15:30:00;SAE11;TDA-PT;A5,B6;::1ATDA::(Updated:24/09/202318:32)
739;2024-01-15:;15:00:00;17:00:00;SAE14;TP2;B7;::1ATP2:GIRAUDNADINE::(Updated:27/11/202315:57)
740;2024-01-19:;12:30:00;15:30:00;SAE13;TP2;C1;::1ATP2:CAPALLERAFLORENCE::(Updated:27/11/202316:21)
741;2023-11-07:;12:30:00;14:30:00;SAE15;TDB;B3;::1ATDB:JACQUETFREDERIQUE::(Updated:18/10/202310:29)
742;2024-01-15:;08:00:00;11:00:00;RLAN1;TP5;C1bis;::1ATP5:CHEBBISAMAR::(Updated:27/11/202314:59)
743;2023-10-25:;13:30:00;14:30:00;SAE11;TP3;B8;::1ATP3:JACQUETFREDERIQUE::(Updated:10/10/202313:36)
744;2023-12-21:;12:30:00;14:30:00;PPP1;TDB;B7;::1ATDB:GIRAUDNADINE::(Updated:09/11/202317:15)
745;2023-10-20:;08:00:00;10:00:00;SAE12;TDA;B8;::1ATDA:HERNANDEZSEBASTIEN::(Updated:05/10/202318:46)
746;2023-12-22:;07:00:00;09:00:00;SAE15;TDA-PT;B3,B8;::1ATDA::(Updated:27/11/202315:23)
747;2023-12-13:;15:30:00;18:30:00;Archi-Rés1;TP1;C1bis;::1ATP1:BROSLAURENT::(Updated:09/11/202311:22)
748;2023-10-20:;11:30:00;13:30:00;Syst1;TP3;C5;::1ATP3:JACQUETFREDERIQUE::(Updated:05/10/202318:42)
749;2023-10-10:;13:30:00;15:30:00;Elec1;TDA;A6;::1ATDA:CAPALLERAFLORENCE::(Updated:03/10/202317:55)
750;2023-11-30:;07:00:00;09:00:00;Com1;TP2;B7;::1ATP2:GIRAUDNADINE::(Updated:23/11/202310:34)
751;2023-12-20:;12:30:00;14:30:00;SAE14;TDC-PT;B6,C7;::1ATDC::(Updated:27/11/202315:24)
752;2023-10-17:;08:00:00;10:00:00;SAE13;TDA;B8;::1ATDA:COURSIMAULTDAVID::(Updated:17/10/202310:35)
753;2024-01-23:;12:30:00;14:30:00;SAE15;TP1;B6;::1ATP1:HABACHIOUSSAMA::(Updated:27/11/202316:23)
754;2023-09-12:;11:30:00;12:30:00;Elec1;Cours;A5-A5bis;::1A:CAPALLERAFLORENCE::(Updated:08/09/202312:56)
755;2023-11-17:;07:00:00;10:00:00;Init-Rés1;TP3;C7;::1ATP3:Intervenantàpréciser::(Updated:20/11/202310:25)
756;2024-01-11:;12:30:00;14:30:00;SAE15;TDA-PT;B6,C5;::1ATDA::(Updated:27/11/202316:19)
757;2024-01-16:;07:00:00;08:00:00;SAE14;TP1;B3;::1ATP1:HABACHIOUSSAMA::(Updated:20/12/202310:36)
