dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2023-12-12T12:30:00Z","2023-12-12T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313837342d302d31","","1970-01-01T00:00:00Z","\n\n1ATDB\nFREITAS ANTONIO\n\n(Updated :09/11/2023 16:18)","2023-11-09T15:18:00Z","C1bis","2140975858","","RLAN1 : TDB",""
"2023-09-27T08:00:00Z","2023-09-27T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313738312d302d31","","1970-01-01T00:00:00Z","\n\n1ATDA\nJACQUET JEAN-PAUL\n\n(Updated :26/09/2023 13:24)","2023-09-26T11:24:00Z","A5bis","2140912264","","Archi-Sys1 : TDA",""
"2023-10-09T07:00:00Z","2023-10-09T08:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383636392d302d32","","1970-01-01T00:00:00Z","\n\n1A\nCOURSIMAULT DAVID\n\n(Updated :25/09/2023 16:25)","2023-09-25T14:25:00Z","A5-A5bis","2140911005","","Math-Signal1 : Cours",""
"2024-01-16T12:00:00Z","2024-01-16T15:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d36343939302d302d32","","1970-01-01T00:00:00Z","\n\n1ATP5\nCAPALLERA FLORENCE\n\n(Updated :27/11/2023 15:49)","2023-11-27T14:49:00Z","C1","2141001749","","SAE13-TP5",""
"2023-10-05T11:30:00Z","2023-10-05T13:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333339332d302d35","","1970-01-01T00:00:00Z","\n\n1ATP5\nJACQUET FREDERIQUE\n\n(Updated :25/09/2023 16:59)","2023-09-25T14:59:00Z","B8","2140911039","","Syst1 : TP5",""
"2024-01-26T12:30:00Z","2024-01-26T14:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d32383933322d302d30","","1970-01-01T00:00:00Z","\n\n1ATP1\nHERNANDEZ SEBASTIEN\n\n(Updated :20/12/2023 10:17)","2023-12-20T09:17:00Z","B3","2141034537","","SAE12-TP1_Exam",""
"2023-09-14T14:00:00Z","2023-09-14T16:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333335322d302d32","","1970-01-01T00:00:00Z","\n\n1ATDC\nJACQUET FREDERIQUE\n\n(Updated :11/09/2023 16:08)","2023-09-11T14:08:00Z","C5","2140890828","","Syst1 : TDC",""
"2023-11-21T07:00:00Z","2023-11-21T09:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d36343938382d302d32","","1970-01-01T00:00:00Z","\n\n1ATDC\nHERNANDEZ SEBASTIEN\n\n(Updated :17/11/2023 09:49)","2023-11-17T08:49:00Z","C5","2140986989","","SAE12-TDC",""
"2023-10-11T08:00:00Z","2023-10-11T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313836372d302d36","","1970-01-01T00:00:00Z","\n\n1ATDB\nCOURSIMAULT DAVID\n\n(Updated :25/09/2023 16:26)","2023-09-25T14:26:00Z","A6","2140911006","","Math-Signal1 : TDB",""
"2024-01-30T08:00:00Z","2024-01-30T09:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33343437362d302d30","","1970-01-01T00:00:00Z","\n\n1A\nHABACHI OUSSAMA\n\n(Updated :08/01/2024 18:19)","2024-01-08T17:19:00Z","A5-A5bis","2141062379","","BD2 : Cours",""
"2023-10-03T08:00:00Z","2023-10-03T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333337302d302d30","","1970-01-01T00:00:00Z","\n\n1ATDC\nCAPALLERA FLORENCE\n\n(Updated :25/09/2023 13:48)","2023-09-25T11:48:00Z","A6","2140910848","","Elec1 : TDC",""
"2023-12-21T12:30:00Z","2023-12-21T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d37303031332d302d31","","1970-01-01T00:00:00Z","\n\n1ATDC\n\n(Updated :15/12/2023 10:47)","2023-12-15T09:47:00Z","A5bis,A5","2141027367","","SAE15-TDC-PT",""
"2024-01-23T09:00:00Z","2024-01-23T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313539332d302d34","","1970-01-01T00:00:00Z","\n\n1ATDB\n\n(Updated :27/11/2023 16:23)","2023-11-27T15:23:00Z","A5bis,B6","2141001783","","SAE15-TDB-PT",""
"2023-12-04T08:00:00Z","2023-12-04T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323031362d302d31","","1970-01-01T00:00:00Z","\n\n1ATP1\nCAPALLERA FLORENCE\n\n(Updated :15/11/2023 19:56)","2023-11-15T18:56:00Z","C1","2140984716","","Telecom1 : TP1",""
